,smiles,molecule_hash,kd,smiles_a,smiles_b,smiles_c
0,CC1=CC=C(C(NC2=CC=C(CN3CCN(C)CC3)C(C(F)(F)F)=C2)=O)C=C1C#CC4=CN=C5N4N=CC(CCC(O)=O)=C5,,0.0,,,
1,CC(C1=CN(CC(NC2=CC=C(NC3=NC=NC4=CC(OCC(O)=O)=CC(F)=C34)C=C2)=O)N=N1)C,,64100.0,,,
2,CCCC1CCC(C(=O)NC2CCN(CC(=O)N3CCC[C@@H](C(=O)NC)C3)CC2)CC1,4010bb979f72433a7c4dd6a1866281ae52ca26799b4eb2b05debe932a09019bf,21800.0,CNC(=O)[C@@H]1CCCNC1,CCCC1CCC(CC1)C(O)=O,OC(=O)CN1CCC(CC1)NC(=O)OCC1c2ccccc2-c2ccccc12
3,CNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cn[nH]c2C)cc1,49ddbe7bf5f7c2ca08341f93d5dca76e58385403017cc77b119853b3bc7d8569,8.4,CNC(=O)[C@@H](N)CCC1CCCCC1,Cc1[nH]ncc1C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
4,CNC(=O)[C@H](CCc1ccccc1)NC(=O)c1ccc(CNC(=O)c2n[nH]c3ncccc23)cc1,5faaa1ff3c68a52cc816682ce9bb4e4e91ea5559dbdc3594deb783504c1f4d8d,16.2,CNC(=O)[C@@H](N)CCc1ccccc1,OC(=O)C1=NNC2=NC=CC=C12,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
5,CNC(=O)[C@@H](CC1CCCCC1)NC(=O)CC1CCN(C(=O)c2cnc(N)s2)CC1,e2ba070e9bf38ff405d78e5ae57e2fbc002fa20f85b6378d9b466147b9f24d41,8190.0,CNC(=O)[C@H](N)CC1CCCCC1,Nc1ncc(s1)C(O)=O,OC(=O)CC1CCN(CC1)C(=O)OCC1c2ccccc2-c2ccccc12
6,CNC(=O)[C@@H](CC1CCCCC1)NC(=O)CC1CCN(C(=O)c2n[nH]c3ncccc23)CC1,7c7c670f9a6bc99393102a6982de12961bbac6f6e61be89a6c8eb1eee3ebbe7f,24100.0,CNC(=O)[C@H](N)CC1CCCCC1,OC(=O)C1=NNC2=NC=CC=C12,OC(=O)CC1CCN(CC1)C(=O)OCC1c2ccccc2-c2ccccc12
7,CNC(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)CC1CCN(C(=O)c2n[nH]c3ncccc23)CC1,a0fc23e342454249f119bc83bd385199a2c2b28f43feaaafd5933d64e2b9dd0c,20400.0,CNC(=O)[C@H](N)Cc1cccc(Cl)c1,OC(=O)C1=NNC2=NC=CC=C12,OC(=O)CC1CCN(CC1)C(=O)OCC1c2ccccc2-c2ccccc12
8,CNC(=O)[C@@H]1CCC[C@H](NC(=O)c2ccc(CNC(=O)c3cnc(N)s3)cc2)C1,78614ad1cd47d071e57d0e12b271ac5ec9a488ad42bb3041d6186c6c7648b4b3,242.0,CNC(=O)[C@@H]1CCC[C@H](N)C1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
9,CNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cnn(Cc3ccccc3)c2)cc1,e51bc33ad16943aab8961cdd46921c7e79799b59fb14ba87c1fbf17c8381d36a,8790.0,CNC(=O)[C@@H](N)CCC1CCCCC1,OC(=O)C1=CN(CC2=CC=CC=C2)N=C1,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
