,smiles,molecule_hash,kd,smiles_a,smiles_b,smiles_c
0,CNC(CN1CN(C2(C1=O)CCN(C(c(cn3)cc4c3[nH]nc4)=O)CC2)c5ccccc5)=O,,70.6,,,
1,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(N[C@@H](CCC4CCCCC4)C(NC)=O)=O)cc3)=O,,41.4,,,
2,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)cc3)=O,,1861.3,,,
3,Nc1n(c2ccc(F)cc2)ncc1C(NCC3=CC=C(C=C3)C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)=O,,3127.7,,,
4,O=C(NC[C@H](CC1)CC[C@@H]1C(N[C@@H](CCC2CCCCC2)C(NC)=O)=O)C3=C(N=C(S3)N)C,,106.6,,,
5,O=C(NCC1=CC=C(C=C1)C(N[C@@H](CCC2CCCCC2)C(NC)=O)=O)C3=C(N=C(S3)N)C,,31.4,,,
6,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(NC(C(NC)=O)COC(C)(C)C)=O)cc3)=O,,5241.0,,,
7,O=C(NC[C@H](CC1)CC[C@@H]1C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)C2=C(N=C(S2)N)C,,3254.0,,,
8,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(N[C@@H](Cc4cc(C(F)(F)F)ccc4)C(NC)=O)=O)cc3)=O,,467.2,,,
9,Nc1n(c2ccccc2)ncc1C(NC[C@H](CC3)CC[C@@H]3C(N[C@@H](CCC4CCCCC4)C(NC)=O)=O)=O,,314.9,,,
10,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(N[C@@H](CCc4ccccc4)C(NC)=O)=O)cc3)=O,,244.9,,,
11,Nc1n(c2ccc(F)cc2)ncc1C(NC[C@H](CC3)CC[C@@H]3C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)=O,,7155.7,,,
12,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(NC(C(NC)=O)CCC(OC(C)(C)C)=O)=O)cc3)=O,,3321.3,,,
13,Nc1n(c2ccccc2)ncc1C(NC[C@H](CC3)CC[C@@H]3C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)=O,,7816.7,,,
14,Nc1n(c2ccc(F)cc2)ncc1C(NC[C@H](CC3)CC[C@@H]3C(NC(C(NC)=O)CCC(OC(C)(C)C)=O)=O)=O,,5515.0,,,
15,CNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cn[nH]c2C)cc1,49ddbe7bf5f7c2ca08341f93d5dca76e58385403017cc77b119853b3bc7d8569,7.2,CNC(=O)[C@@H](N)CCC1CCCCC1,Cc1[nH]ncc1C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
16,CNC(=O)[C@H](CCc1ccccc1)NC(=O)c1ccc(CNC(=O)c2n[nH]c3ncccc23)cc1,5faaa1ff3c68a52cc816682ce9bb4e4e91ea5559dbdc3594deb783504c1f4d8d,113.2,CNC(=O)[C@@H](N)CCc1ccccc1,OC(=O)C1=NNC2=NC=CC=C12,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
17,CNC(=O)[C@@H](CC1CCCCC1)NC(=O)CC1CCN(C(=O)c2cnc(N)s2)CC1,e2ba070e9bf38ff405d78e5ae57e2fbc002fa20f85b6378d9b466147b9f24d41,7013.0,CNC(=O)[C@H](N)CC1CCCCC1,Nc1ncc(s1)C(O)=O,OC(=O)CC1CCN(CC1)C(=O)OCC1c2ccccc2-c2ccccc12
18,CNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)c1ccc(CNC(=O)c2cnc(N)s2)cc1,5d51ce315e45a4a13a29bd57cccdf1a518e62473f25d8c0bec16eb895dadfe61,4.8,CNC(=O)[C@@H](N)Cc1cccc(Cl)c1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
19,CNC(=O)[C@@H]1CCC[C@H](NC(=O)c2ccc(CNC(=O)c3cnc(N)s3)cc2)C1,78614ad1cd47d071e57d0e12b271ac5ec9a488ad42bb3041d6186c6c7648b4b3,85.3,CNC(=O)[C@@H]1CCC[C@H](N)C1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
