,smiles,molecule_hash,kd,smiles_a,smiles_b,smiles_c
0,CC1=CC=C(C(NC2=CC=C(CN3CCN(C)CC3)C(C(F)(F)F)=C2)=O)C=C1C#CC4=CN=C5N4N=CC(CCC(O)=O)=C5,,10.3,,,
1,CCCC1CCC(C(=O)NC2CCN(CC(=O)N3CCC[C@@H](C(=O)NC)C3)CC2)CC1,4010bb979f72433a7c4dd6a1866281ae52ca26799b4eb2b05debe932a09019bf,64900.0,CNC(=O)[C@@H]1CCCNC1,CCCC1CCC(CC1)C(O)=O,OC(=O)CN1CCC(CC1)NC(=O)OCC1c2ccccc2-c2ccccc12
2,CNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cn[nH]c2C)cc1,49ddbe7bf5f7c2ca08341f93d5dca76e58385403017cc77b119853b3bc7d8569,277.0,CNC(=O)[C@@H](N)CCC1CCCCC1,Cc1[nH]ncc1C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
3,CNC(=O)[C@H](CCc1ccccc1)NC(=O)c1ccc(CNC(=O)c2n[nH]c3ncccc23)cc1,5faaa1ff3c68a52cc816682ce9bb4e4e91ea5559dbdc3594deb783504c1f4d8d,20900.0,CNC(=O)[C@@H](N)CCc1ccccc1,OC(=O)C1=NNC2=NC=CC=C12,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
4,CNC(=O)[C@@H](CC1CCCCC1)NC(=O)CC1CCN(C(=O)c2cnc(N)s2)CC1,e2ba070e9bf38ff405d78e5ae57e2fbc002fa20f85b6378d9b466147b9f24d41,26800.0,CNC(=O)[C@H](N)CC1CCCCC1,Nc1ncc(s1)C(O)=O,OC(=O)CC1CCN(CC1)C(=O)OCC1c2ccccc2-c2ccccc12
5,CNC(=O)[C@@H](CC1CCCCC1)NC(=O)CC1CCN(C(=O)c2n[nH]c3ncccc23)CC1,7c7c670f9a6bc99393102a6982de12961bbac6f6e61be89a6c8eb1eee3ebbe7f,27600.0,CNC(=O)[C@H](N)CC1CCCCC1,OC(=O)C1=NNC2=NC=CC=C12,OC(=O)CC1CCN(CC1)C(=O)OCC1c2ccccc2-c2ccccc12
6,CNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)c1ccc(CNC(=O)c2cnc(N)s2)cc1,5d51ce315e45a4a13a29bd57cccdf1a518e62473f25d8c0bec16eb895dadfe61,2740.0,CNC(=O)[C@@H](N)Cc1cccc(Cl)c1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
7,CNC(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)CC1CCN(C(=O)c2n[nH]c3ncccc23)CC1,a0fc23e342454249f119bc83bd385199a2c2b28f43feaaafd5933d64e2b9dd0c,89000.0,CNC(=O)[C@H](N)Cc1cccc(Cl)c1,OC(=O)C1=NNC2=NC=CC=C12,OC(=O)CC1CCN(CC1)C(=O)OCC1c2ccccc2-c2ccccc12
8,CNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cnn(Cc3ccccc3)c2)cc1,e51bc33ad16943aab8961cdd46921c7e79799b59fb14ba87c1fbf17c8381d36a,185.0,CNC(=O)[C@@H](N)CCC1CCCCC1,OC(=O)C1=CN(CC2=CC=CC=C2)N=C1,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
9,CNC(=O)[C@H]1C[C@@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc3ccccc3c2)C1,51cebfcf1cfc70f8c66cd669ea270559d2130202417edb87007a62e699da54e3,2100.0,CNC(=O)[C@H]1C[C@@H](N)C1,OC(=O)C1=CC=C2C=CC=CC2=C1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
10,CNC(=O)c1n[nH]c2c1CCN(C(=O)[C@@H]1CCC[C@H](NC(=O)c3cc(C(C)(C)C)cc(C(C)(C)C)c3)C1)C2,b9f5c11c131b84415971a2b518163b08c9877f39f2ba8b1987b827939d19988c,6590.0,CNC(=O)c1n[nH]c2c1CCNC2,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,CC(C)(C)OC(=O)N[C@H]1CCC[C@H](C1)C(O)=O
11,CNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2n[nH]c3ncccc23)cc1,517bc4d5424e52f264e820e8624460f4621acab36360777227dc026ee2d50706,2750.0,CNC(=O)[C@@H](N)CCC1CCCCC1,OC(=O)C1=NNC2=NC=CC=C12,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
12,CNC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cnc(N)s2)cc1,719550c3f09e29b8349c48c091496fd71dcd6a52533ffb584c912a584a3c8d3b,1810.0,CNC(=O)[C@@H](N)CC1CCCCC1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
13,CCCC1CCC(C(=O)NC2CCN(CC(=O)N[C@@H](CCC(=O)NC)C(=O)N(C)Cc3cccnc3)CC2)CC1,724424818ac0f0d38230d0dfab2ced455e93605b4566ccd2a74bb33257e8da80,7880.0,CNC(=O)CC[C@H](N)C(=O)N(C)Cc1cccnc1,CCCC1CCC(CC1)C(O)=O,OC(=O)CN1CCC(CC1)NC(=O)OCC1c2ccccc2-c2ccccc12
14,CCCC1CCC(C(=O)NC2CCN(CC(=O)N[C@@H](CCC(=O)NC)C(=O)N3CCn4ccnc4C3)CC2)CC1,33c06d6a570c09315e5031d5b59d183df5002816c9b9f84588cbe09d85298dc1,54400.0,CNC(=O)CC[C@H](N)C(=O)N1CCn2ccnc2C1,CCCC1CCC(CC1)C(O)=O,OC(=O)CN1CCC(CC1)NC(=O)OCC1c2ccccc2-c2ccccc12
15,CCCC1CCC(C(=O)N[C@H]2CCC[C@@H](C(=O)N[C@@H](CCC(=O)N(C)Cc3ccccc3)C(=O)NC)C2)CC1,deb2175325fb2c3c32737b359710d97b6d93e88dfc66e763d61ca3e1e801b8ff,13500.0,CNC(=O)[C@@H](N)CCC(=O)N(C)Cc1ccccc1,CCCC1CCC(CC1)C(O)=O,CC(C)(C)OC(=O)N[C@H]1CCC[C@H](C1)C(O)=O
16,CCCC1CCC(C(=O)N[C@H]2CCC[C@@H](C(=O)NCC[C@H](NC(=O)c3ncoc3C)C(=O)NC)C2)CC1,aab2e91204a3d564a9bbd888cb3177ab5411d5fb1a5823eab35c4e7906c66081,52200.0,CNC(=O)[C@H](CCN)NC(=O)c1ncoc1C,CCCC1CCC(CC1)C(O)=O,CC(C)(C)OC(=O)N[C@H]1CCC[C@H](C1)C(O)=O
17,CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccnn2C)CN1C(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)CCc1cccc2ccccc12,546ab152b3c9ad0ac2d0ac6415da2b3e3512998f573e4016035302adb23342f7,2110.0,CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccnn2C)CN1,OC(=O)CCC1=C2C=CC=CC2=CC=C1,OC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)OCC1c2ccccc2-c2ccccc12
18,CCCC1CCC(C(=O)N[C@H]2CCC[C@@H](C(=O)N3C[C@@H](NC(=O)c4ccccc4)C[C@H]3C(=O)NC)C2)CC1,f79bc71bcff7a90a38da65e01ca9162e215c8b67aeb2b8f614113d2ca03acd2b,78700.0,CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccccc2)CN1,CCCC1CCC(CC1)C(O)=O,CC(C)(C)OC(=O)N[C@H]1CCC[C@H](C1)C(O)=O
19,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)C2=Cc3cc(Cl)ccc3OC2)CC1,6446f30c29d001a135607426575a724c28615b6d7b70eaffa83fb4b32f197c76,46100.0,CNC(=O)[C@H]1CC[C@H](N)CC1,OC(=O)C1=CC2=C(OC1)C=CC(Cl)=C2,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
20,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2cc3c(Br)cccc3[nH]2)CC1,97438889874a9ed13518172e23911ba5032935a29a171f38a154bf4cd4676a17,35400.0,CNC(=O)[C@H]1CC[C@H](N)CC1,OC(=O)C1=CC2=C(Br)C=CC=C2N1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
21,CNC(=O)c1n[nH]c2c1CCN(C(=O)[C@@H](Cc1cccs1)NC(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)C2,c0dfd125bafbb6fedfc1812021e9b55edc312e099f7e7689fdaf551d4332db82,1700.0,CNC(=O)c1n[nH]c2c1CCNC2,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)[C@@H](Cc1cccs1)NC(=O)OCC1c2ccccc2-c2ccccc12
22,CNC(=O)c1n[nH]c2c1CCN(C(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)C2,cf62e50dd98ddd37f2719f03c81ee99ffdd54f6e5dc514b79f1f0bbb6779ffac,2280.0,CNC(=O)c1n[nH]c2c1CCNC2,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)OCC1c2ccccc2-c2ccccc12
23,CNC(=O)c1n[nH]c2c1CCN(C(=O)C[C@@H]1Cc3ccccc3CN1C(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)C2,7273a34300ecd8eb592ef16e353f045190452c6a3d23f842633300ce90dce798,1250.0,CNC(=O)c1n[nH]c2c1CCNC2,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)C[C@@H]1Cc2ccccc2CN1C(=O)OCC1c2ccccc2-c2ccccc12
24,CCCC1CCC(C(=O)NC2CCN(CC(=O)NC34CC5CC(C3)CC(C(=O)NC)(C5)C4)CC2)CC1,b84aeba9427b34f2711c3d0e5e4856a57355ee48304dc1534fa5f2714ec35770,59600.0,CNC(=O)C12CC3CC(CC(N)(C3)C1)C2,CCCC1CCC(CC1)C(O)=O,OC(=O)CN1CCC(CC1)NC(=O)OCC1c2ccccc2-c2ccccc12
25,CNC(=O)[C@H](CCNC(=O)[C@H]1CC[C@H](CNC(=O)c2cnc(N)s2)CC1)N1CCCCC1,b177175f0c5df2263925107233ff83d50bafe5d0d05866e9069af0e3f49e17c7,1660.0,CNC(=O)[C@H](CCN)N1CCCCC1,Nc1ncc(s1)C(O)=O,OC(=O)[C@H]1CC[C@H](CNC(=O)OCC2c3ccccc3-c3ccccc23)CC1
26,CNC(=O)[C@H](CCNC(=O)c1ccc(CNC(=O)c2cnc(N)s2)cc1)N1CCCCC1,d5829b60cd9b7a6145834cc2593017cdbb6c8c66618108958395a3d5203d8f31,974.0,CNC(=O)[C@H](CCN)N1CCCCC1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
27,CNC(=O)c1ccc(CNC(=O)[C@@H](CCc2ccccc2)NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1,5951bfb5fd2220a926027778d257400fe5a35072376a3cb43d81d1e3bb7cd32d,13600.0,CNC(=O)c1ccc(CN)cc1,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)[C@@H](CCc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc12
28,CNC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H]1CC[C@H](CNC(=O)c2cnc(N)s2)CC1,25f1c2c9f4bc0fe2e48e4b16dba76f744bf11393b46f8cbc8229130712e9e076,1830.0,CNC(=O)[C@@H](N)CCc1ccccc1,Nc1ncc(s1)C(O)=O,OC(=O)[C@H]1CC[C@H](CNC(=O)OCC2c3ccccc3-c3ccccc23)CC1
29,CNC(=O)[C@H](CCc1ccccc1)NC(=O)c1ccc(CNC(=O)c2cn[nH]c2C)cc1,ab1edbf1bc3c761eb267ab85b03de6b4d8427b271af45b6a02e223800aa24d42,2640.0,CNC(=O)[C@@H](N)CCc1ccccc1,Cc1[nH]ncc1C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
30,CNC(=O)[C@H](CCc1ccccc1)NC(=O)c1ccc(CNC(=O)c2cnc(N)s2)cc1,618c1c699f8f9b8b3f0321608b2517364c46d03d24f7c1559436f6786ee5fab4,745.0,CNC(=O)[C@@H](N)CCc1ccccc1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
31,CNC(c1ccc(CNC(CN2CCC(CC2)NCc3c(Br)cc(C)cc3)=O)cc1)=O,53cc5e69720e8bc34015074bbf2c1ca641789c751ed6f40af549fba4e9598498,19800.0,CNC(=O)c1ccc(CN)cc1,CC1=CC=C(C=O)C(Br)=C1,OC(=O)CN1CCC(CC1)NC(=O)OCC1c2ccccc2-c2ccccc12
32,CNC([C@H]1CC[C@@H](CC1)NC(c2cnc(CNCc3c(Br)cc(C)cc3)cc2)=O)=O,f0f33822964d70c3432ae62ab1bbf74c632009caa69d86a335c64abf14b64f40,98700.0,CNC(=O)[C@H]1CC[C@H](N)CC1,CC1=CC=C(C=O)C(Br)=C1,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)nc1
33,CNC([C@H]1C[C@H](C1)NC(c2cnc(CNCc3c(Br)cc(C)cc3)cc2)=O)=O,e3692c4e20fc3c00958274294577aa1e04cdc3bd16724f5ddb3f1b08c2777157,42500.0,CNC(=O)[C@H]1C[C@@H](N)C1,CC1=CC=C(C=O)C(Br)=C1,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)nc1
