,smiles,molecule_hash,kd,smiles_a,smiles_b,smiles_c
0,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)cc3)=O,,384.0,,,
1,Nc1n(c2ccc(F)cc2)ncc1C(NCC3=CC=C(C=C3)C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)=O,,397.9,,,
2,O=C(NC[C@H](CC1)CC[C@@H]1C(N[C@@H](CCC2CCCCC2)C(NC)=O)=O)C3=C(N=C(S3)N)C,,429.4,,,
3,O=C(NCC1=CC=C(C=C1)C(N[C@@H](CCC2CCCCC2)C(NC)=O)=O)C3=C(N=C(S3)N)C,,575.3,,,
4,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(NC(C(NC)=O)COC(C)(C)C)=O)cc3)=O,,2058.0,,,
5,O=C(NC[C@H](CC1)CC[C@@H]1C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)C2=C(N=C(S2)N)C,,2924.7,,,
6,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(N[C@@H](Cc4cc(C(F)(F)F)ccc4)C(NC)=O)=O)cc3)=O,,105.6,,,
7,Nc1n(c2ccccc2)ncc1C(NC[C@H](CC3)CC[C@@H]3C(N[C@@H](CCC4CCCCC4)C(NC)=O)=O)=O,,16.9,,,
8,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(N[C@@H](CCc4ccccc4)C(NC)=O)=O)cc3)=O,,336.9,,,
9,Nc1n(c2ccc(F)cc2)ncc1C(NC[C@H](CC3)CC[C@@H]3C(NC(C(NC)=O)C(OC(C)(C)C)C)=O)=O,,230.2,,,
10,Nc1n(c2ccccc2)ncc1C(NCc3ccc(C(NC(C(NC)=O)CCC(OC(C)(C)C)=O)=O)cc3)=O,,149.9,,,
11,CNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cn[nH]c2C)cc1,49ddbe7bf5f7c2ca08341f93d5dca76e58385403017cc77b119853b3bc7d8569,225.7,CNC(=O)[C@@H](N)CCC1CCCCC1,Cc1[nH]ncc1C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
12,CNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)c1ccc(CNC(=O)c2cnc(N)s2)cc1,5d51ce315e45a4a13a29bd57cccdf1a518e62473f25d8c0bec16eb895dadfe61,4754.0,CNC(=O)[C@@H](N)Cc1cccc(Cl)c1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
13,CNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cnn(Cc3ccccc3)c2)cc1,e51bc33ad16943aab8961cdd46921c7e79799b59fb14ba87c1fbf17c8381d36a,19.1,CNC(=O)[C@@H](N)CCC1CCCCC1,OC(=O)C1=CN(CC2=CC=CC=C2)N=C1,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
14,CNC(=O)[C@H]1C[C@@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc3ccccc3c2)C1,51cebfcf1cfc70f8c66cd669ea270559d2130202417edb87007a62e699da54e3,867.2,CNC(=O)[C@H]1C[C@@H](N)C1,OC(=O)C1=CC=C2C=CC=CC2=C1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
15,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)/C=C/c2ccccc2C(F)(F)F)CC1,f7475e326da3422a9403413a8a59d8c01cceeee47dad48c63da8514de34b8af0,374.6,CNC(=O)[C@H]1CC[C@H](N)CC1,OC(=O)\\C=C\\C1=C(C=CC=C1)C(F)(F)F,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
16,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)/C=C/c2ccccc2C)CC1,aebbf52fb0dd6016e9d8a200db06bb44eb289f914a2ce098fdc51a5afd6e0063,470.7,CNC(=O)[C@H]1CC[C@H](N)CC1,CC1=C(\\C=C\\C(O)=O)C=CC=C1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
17,CNC(=O)c1n[nH]c2c1CCN(C(=O)[C@@H]1CCC[C@H](NC(=O)c3cc(C(C)(C)C)cc(C(C)(C)C)c3)C1)C2,b9f5c11c131b84415971a2b518163b08c9877f39f2ba8b1987b827939d19988c,169.5,CNC(=O)c1n[nH]c2c1CCNC2,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,CC(C)(C)OC(=O)N[C@H]1CCC[C@H](C1)C(O)=O
18,CNC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cnc(N)s2)cc1,719550c3f09e29b8349c48c091496fd71dcd6a52533ffb584c912a584a3c8d3b,897.3,CNC(=O)[C@@H](N)CC1CCCCC1,Nc1ncc(s1)C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
19,CNC(=O)[C@@H](CCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1cc2c(Br)cccc2[nH]1)NC(=O)c1ccccc1,39044d6374226a490b5774b0c44a96cb6bb9b60cb422fce499febe4b35b10092,14269.7,CNC(=O)[C@@H](CCN)NC(=O)c1ccccc1,OC(=O)C1=CC2=C(Br)C=CC=C2N1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
20,CNC(=O)[C@@H](CCNC(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)NC(=O)c1cnc(N)s1,447dbd41ea2cc5d7e5088c4a8b9e7b9df5fbf1cd3c29121ae6627f90159c2315,12025.7,CNC(=O)[C@@H](CCN)NC(=O)c1cnc(N)s1,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)OCC1c2ccccc2-c2ccccc12
21,CNC(=O)[C@H](CCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1cc2c(Br)cccc2[nH]1)NC(=O)c1cccs1,355f291a4d1d0909a94433bbf2c9fef30424a413ef09bf8c923a48c20103dc91,6217.3,CNC(=O)[C@H](CCN)NC(=O)c1cccs1,OC(=O)C1=CC2=C(Br)C=CC=C2N1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
22,CNC(=O)[C@H](CCNC(=O)[C@H](CCC1CCCCC1)NC(=O)/C=C/c1ccccc1C)NC(=O)c1cccs1,d97ee425c0301bcebf6d6f4091d01e54ceef537afc700bc0ef0356ea70d08f9d,401.9,CNC(=O)[C@H](CCN)NC(=O)c1cccs1,CC1=C(\\C=C\\C(O)=O)C=CC=C1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
23,CNC(=O)[C@H](CCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1cc2c(Br)cccc2[nH]1)NC(=O)c1ccsc1,b42a568fc8026dc73dd7bbe979b544c86c87194510ba3edff7cdd6d6c26b3e42,5029.7,CNC(=O)[C@H](CCN)NC(=O)c1ccsc1,OC(=O)C1=CC2=C(Br)C=CC=C2N1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
24,CNC(=O)[C@H](CCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1cc2c(Br)cccc2[nH]1)NC(=O)CC1CCCC1,0336089748ad12c95d33cc0d6328a0ea004a914bd96a9c591f7fc350b0f6e04a,8752.0,CNC(=O)[C@H](CCN)NC(=O)CC1CCCC1,OC(=O)C1=CC2=C(Br)C=CC=C2N1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
25,CNC(=O)[C@H](CCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1cc2c(Br)cccc2[nH]1)NC(=O)C1CCCCC1,fe3d3ea9da7716b2cff0bb5ad5424c42d414abdb48d7dbfc24b0e4a598818c50,11677.7,CNC(=O)[C@H](CCN)NC(=O)C1CCCCC1,OC(=O)C1=CC2=C(Br)C=CC=C2N1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
26,CNC(=O)[C@H](CCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1cc2c(Br)cccc2[nH]1)NC(=O)c1ccccc1,fc9b5c54640aeabcef51c90a4bc9b4e07eee104ba2233a421b305865612ce926,6605.3,CNC(=O)[C@H](CCN)NC(=O)c1ccccc1,OC(=O)C1=CC2=C(Br)C=CC=C2N1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
27,CNC(=O)[C@H]1C[C@@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)C2=Cc3cc(Cl)ccc3OC2)C1,c41521f1538c7b746b65c677944f058a8813e5e563569e92c62055e4b7dd3466,4448.3,CNC(=O)[C@H]1C[C@@H](N)C1,OC(=O)C1=CC2=C(OC1)C=CC(Cl)=C2,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
28,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)C2=Cc3cc(Cl)ccc3OC2)CC1,6446f30c29d001a135607426575a724c28615b6d7b70eaffa83fb4b32f197c76,1893.3,CNC(=O)[C@H]1CC[C@H](N)CC1,OC(=O)C1=CC2=C(OC1)C=CC(Cl)=C2,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
29,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc(Br)c(C(F)(F)F)c2)CC1,b7f5ad16837ea1e4efea2a1a536e7143196d8512dbde15493c36be3d90bb390f,419.8,CNC(=O)[C@H]1CC[C@H](N)CC1,OC(=O)C1=CC=C(Br)C(=C1)C(F)(F)F,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
30,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2cc3c(Br)cccc3[nH]2)CC1,97438889874a9ed13518172e23911ba5032935a29a171f38a154bf4cd4676a17,3165.0,CNC(=O)[C@H]1CC[C@H](N)CC1,OC(=O)C1=CC2=C(Br)C=CC=C2N1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
31,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc3ccccc3c2)CC1,a22b1ea5a3d5cf4ff5a4339ced9e7df9581d193d3ced32c5dd878e315e8c7d70,439.6,CNC(=O)[C@H]1CC[C@H](N)CC1,OC(=O)C1=CC=C2C=CC=CC2=C1,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
32,CNC(=O)[C@H]1CC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2cc(Br)c(C)c(Br)c2)CC1,f8d3e54beba77a6a6f570638d3bd941b04d4640323d1aa0c1e36ea57508791d0,1290.3,CNC(=O)[C@H]1CC[C@H](N)CC1,CC1=C(Br)C=C(C=C1Br)C(O)=O,OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
33,CNC(=O)c1n[nH]c2c1CCN(C(=O)[C@@H](Cc1cccs1)NC(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)C2,c0dfd125bafbb6fedfc1812021e9b55edc312e099f7e7689fdaf551d4332db82,652.6,CNC(=O)c1n[nH]c2c1CCNC2,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)[C@@H](Cc1cccs1)NC(=O)OCC1c2ccccc2-c2ccccc12
34,CNC(=O)c1n[nH]c2c1CCN(C(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)C2,cf62e50dd98ddd37f2719f03c81ee99ffdd54f6e5dc514b79f1f0bbb6779ffac,425.3,CNC(=O)c1n[nH]c2c1CCNC2,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)OCC1c2ccccc2-c2ccccc12
35,CNC(=O)c1n[nH]c2c1CCN(C(=O)C[C@@H]1Cc3ccccc3CN1C(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)C2,7273a34300ecd8eb592ef16e353f045190452c6a3d23f842633300ce90dce798,874.4,CNC(=O)c1n[nH]c2c1CCNC2,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)C[C@@H]1Cc2ccccc2CN1C(=O)OCC1c2ccccc2-c2ccccc12
36,CNC(=O)c1ccc(CNC(=O)[C@@H](CCc2ccccc2)NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1,5951bfb5fd2220a926027778d257400fe5a35072376a3cb43d81d1e3bb7cd32d,2670.0,CNC(=O)c1ccc(CN)cc1,CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,OC(=O)[C@@H](CCc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc12
37,CNC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H]1CC[C@H](CNC(=O)c2cnc(N)s2)CC1,25f1c2c9f4bc0fe2e48e4b16dba76f744bf11393b46f8cbc8229130712e9e076,2014.0,CNC(=O)[C@@H](N)CCc1ccccc1,Nc1ncc(s1)C(O)=O,OC(=O)[C@H]1CC[C@H](CNC(=O)OCC2c3ccccc3-c3ccccc23)CC1
38,CNC(=O)[C@H](CCc1ccccc1)NC(=O)c1ccc(CNC(=O)c2cn[nH]c2C)cc1,ab1edbf1bc3c761eb267ab85b03de6b4d8427b271af45b6a02e223800aa24d42,9986.3,CNC(=O)[C@@H](N)CCc1ccccc1,Cc1[nH]ncc1C(O)=O,OC(=O)c1ccc(CNC(=O)OCC2c3ccccc3-c3ccccc23)cc1
