smiles_a,reacted_a
CC[C@H](N)C(=O)NC,CC[C@H](N[Fr])C(=O)NC
CNC(=O)[C@H](CN)NC(=O)c1ccc2[nH]ccc2c1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC2=C(C=C1)NC=C2
CNC(=O)c1cc(CN)oc1C,CNC(=O)C1=C(C)OC(CN[Fr])=C1
CNC(=O)[C@@H](CCN)NC(=O)c1ccncc1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CC=NC=C1
CNC(=O)[C@@H](CN)NC(=O)c1cc[nH]n1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=NNC=C1
CNC(=O)[C@H](CN)NC(=O)c1ccccc1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC=CC=C1
CNC(=O)[C@H](CN)NC(=O)c1ccccn1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NC=CC=C1
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ncoc2C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=C(C)OC=N2)CN1[Fr]
CNC(=O)CC[C@H](N)C(=O)N1CCN(C)CC1,CNC(=O)CC[C@H](N[Fr])C(=O)N1CCN(C)CC1
CNC(=O)[C@H](CN)NC(=O)c1nccn1C,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NC=CN1C
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccnn2C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CC=NN2C)CN1[Fr]
CCN1C[C@@H](N)C[C@H]1C(=O)NC,CCN1C[C@@H](N[Fr])C[C@H]1C(=O)NC
CNC(=O)[C@@H](CN)NC(=O)c1cnc(N)s1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CN=C(N)S1
CNC(=O)[C@H]1Cc2ccccc2CN1,CNC(=O)[C@H]1CC2=C(C=CC=C2)CN1[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1cnccn1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=NC=CN=C1
CNC(=O)[C@H](CN)NC(=O)c1coc(C)n1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=COC(C)=N1
CNC(=O)[C@@H]1C[C@H](NC(=O)[C@H]2CCCO2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)[C@H]2CCCO2)CN1[Fr]
CNC(=O)CC1CNCCN1CC1CC1,CNC(=O)CC1CN([Fr])CCN1CC1CC1
CNC(=O)c1n[nH]c2c1CCNC2,CNC(=O)C1=NNC2=C1CCN([Fr])C2
CCC(=O)N[C@H](CN)C(=O)NC,CCC(=O)N[C@H](CN[Fr])C(=O)NC
CNC(=O)[C@H](CCN)NC(=O)c1cnccn1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=NC=CN=C1
CNC(=O)[C@@H](CN)NC(=O)c1cccc2[nH]ccc12,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=C2C=CNC2=CC=C1
CNC(=O)CC1CNCCN1Cc1cncnc1,CNC(=O)CC1CN([Fr])CCN1CC1=CN=CN=C1
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cscn1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=CSC=N1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccccn2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=NC=CC=C2)CN1[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cc(C)[nH]n1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NNC(C)=C1
CNC(=O)[C@@H](CN)NC(=O)c1nccn1C,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=NC=CN1C
CNC(=O)[C@@H]1C[C@H](NC(=O)c2coc(C)n2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=COC(C)=N2)CN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1cc(C)[nH]n1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=NNC(C)=C1
CNC(=O)[C@@H](CCN)NC(=O)c1cc(C)[nH]n1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=NNC(C)=C1
CNC(=O)[C@H](CN)NC(=O)C1CCOC1,CNC(=O)[C@H](CN[Fr])NC(=O)C1CCOC1
CNC(=O)[C@H](CCN)NC(=O)CC1CCCC1,CNC(=O)[C@H](CCN[Fr])NC(=O)CC1CCCC1
CNC(=O)[C@@H](CCN)NC(=O)c1ncoc1C,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=C(C)OC=N1
CNC(=O)[C@H](CN)NC(=O)c1ccc2[nH]ncc2c1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC2=C(C=C1)NN=C2
CNC(=O)[C@H](CN)NC(=O)C1CCCCC1,CNC(=O)[C@H](CN[Fr])NC(=O)C1CCCCC1
