smiles_b,reacted_b
Nc1nc(cs1)C(O)=O,NC1=NC(C(=O)[At])=CS1
FC1=CC=C(C=O)C=C1Br,FC1=C(Br)C=C(C[At])C=C1
Cn1nccc1C(O)=O,CN1N=CC=C1C(=O)[At]
OC(=O)CCCCC1=CC=C(F)C=C1,O=C([At])CCCCC1=CC=C(F)C=C1
CS(=O)(=O)NC1=CC=C(C=C1)C(O)=O,CS(=O)(=O)NC1=CC=C(C(=O)[At])C=C1
OC(=O)C1=CC(F)=C(C=C1)C(F)(F)F,O=C([At])C1=CC=C(C(F)(F)F)C(F)=C1
OC(=O)C1=CC=C(OC(F)F)C=C1,O=C([At])C1=CC=C(OC(F)F)C=C1
CC(C)(C)OC(=O)N1CCCC(CC(O)=O)C1,CC(C)(C)OC(=O)N1CCCC(CC(=O)[At])C1
OCC1=CC=C(CC(O)=O)C=C1,O=C([At])CC1=CC=C(CO)C=C1
CC1=C(C=CC=C1Cl)C(O)=O,CC1=C(Cl)C=CC=C1C(=O)[At]
CC1=C(Cl)C=CC(=C1)C(O)=O,CC1=C(Cl)C=CC(C(=O)[At])=C1
FC1=CC(Cl)=CC(C=O)=C1,FC1=CC(Cl)=CC(C[At])=C1
[O-][N+](=O)C1=CC=C(\\C=C\\C=O)C=C1,O=[N+]([O-])C1=CC=C(/C=C/C[At])C=C1
COC1=C(OC)C=C(C=O)C=C1,COC1=CC=C(C[At])C=C1OC
COC1=CC(CCC(O)=O)=CC(OC)=C1OC,COC1=CC(CCC(=O)[At])=CC(OC)=C1OC
OC(=O)C1=C(O)N=CC(=C1)[N+]([O-])=O,O=C([At])C1=CC([N+](=O)[O-])=CN=C1O
COC1=CC(=CC=N1)C(O)=O,COC1=CC(C(=O)[At])=CC=N1
OC(=O)CCCC1=CC=C(F)C=C1,O=C([At])CCCC1=CC=C(F)C=C1
C[C@H](N(C)C(=O)OC(C)(C)C)C(O)=O,C[C@@H](C(=O)[At])N(C)C(=O)OC(C)(C)C
CC1=C(C=CC(Cl)=C1)C(O)=O,CC1=CC(Cl)=CC=C1C(=O)[At]
CC1=C(C=CC=C1)C(O)=O,CC1=CC=CC=C1C(=O)[At]
COC(=O)C1=CC(=CC=N1)C(O)=O,O=C(O)C1=CC(C(=O)[At])=NC=C1
OC(=O)\\C=C/C1=CC=CS1,O=C([At])/C=C\C1=CC=CS1
CC(C)[C@@H](NC(=O)OC(C)(C)C)C(O)=O,CC(C)[C@@H](NC(=O)OC(C)(C)C)C(=O)[At]
OC(=O)C1=CC2=C(N1)C=C(F)C=C2,O=C([At])C1=CC2=C(C=C(F)C=C2)N1
O=CC1=CC=C2NN=CC2=C1,[At]CC1=CC2=C(C=C1)NN=C2
OC1=C(C=CC=C1C=O)[N+]([O-])=O,O=[N+]([O-])C1=CC=CC(C[At])=C1O
OC(=O)C1=CC=C(C(F)=C1)C1=CC=CC=C1,O=C([At])C1=CC(F)=C(C2=CC=CC=C2)C=C1
COC1=CC(C)=C(C=C1)C(O)=O,COC1=CC=C(C(=O)[At])C(C)=C1
OC(=O)CC1=CC(O)=CC=C1,O=C([At])CC1=CC=CC(O)=C1
OC(=O)[C@H]1CCC(=O)N1,O=C1CC[C@H](C(=O)[At])N1
OC(=O)C1C[C@@H]2CC[C@H]1C2,O=C([At])C1C[C@@H]2CC[C@H]1C2
ClC1=C(C=O)C=CC(Br)=C1,ClC1=CC(Br)=CC=C1C[At]
