smiles_c,reacted_c
"CC(C)(C)OC(=O)N1C[C@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, CC(O)=O",CC(=O)N[C@H]1C[C@@H](C(=O)[Fr])N([At])C1
"CC(C)(C)OC(=O)N1C[C@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, OC(=O)c1cc[nH]n1",O=C(N[C@H]1C[C@@H](C(=O)[Fr])N([At])C1)C1=NNC=C1
OC(=O)C[C@@H]1Cc2ccccc2CN1C(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])C[C@@H]1CC2=C(C=CC=C2)CN1[At]
"CC(C)(C)OC(=O)N[C@H]1C[C@H](N(C1)C(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, CC=O",CCN1C[C@@H](N[At])C[C@H]1C(=O)[Fr]
"CC(C)(C)OC(=O)N1C[C@@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, O=CCCCC=O",O=C([Fr])[C@@H]1C[C@@H](N2CCCCC2)CN1[At]
CC(C)(C)OC(=O)N1CCCC(CC(O)=O)C1,O=C([Fr])CC1CCCN([At])C1
"CC(C)(C)OC(=O)N1C[C@@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, CC(O)=O",CC(=O)N[C@@H]1C[C@@H](C(=O)[Fr])N([At])C1
CC(C)(C)OC(=O)N1CCO[C@H](C1)C(O)=O,O=C([Fr])[C@H]1CN([At])CCO1
OC(=O)[C@@H](Cc1ccccc1Cl)NC(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])[C@@H](CC1=CC=CC=C1Cl)N[At]
"CC(C)(C)OC(=O)N1C[C@@H](C[C@H]1C(O)=O)NC(=O)OCC1c2ccccc2-c2ccccc12, OC(=O)c1cc[nH]n1",O=C(N[C@@H]1C[C@@H](C(=O)[Fr])N([At])C1)C1=NNC=C1
OC(=O)[C@H](CCC1CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])[C@H](CCC1CCCCC1)N[At]
OC(=O)[C@@H](Cc1cccc(Cl)c1)NC(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])[C@@H](CC1=CC=CC(Cl)=C1)N[At]
"CC(C)(C)OC(=O)NC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O, CC(O)=O",CC(=O)N[C@@H](CN[At])C(=O)[Fr]
OC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)OCC1c2ccccc2-c2ccccc12,O=C([Fr])[C@H](CC1=CC=CC(Cl)=C1)N[At]
